name	target_bp
ENSG00000017427|IGF1	20000
ENSG00000104899|AMH	20000
ENSG00000107796|ACTA2	20000
ENSG00000117425|PTCH2	20000
ENSG00000122641|INHBA	20000
ENSG00000125398|SOX9	20000
ENSG00000133392|MYH11	20000
ENSG00000147381|MAGEA4	20000
ENSG00000157404|KIT	20000
ENSG00000169083|AR	20000
ENSG00000170458|CD14	20000
ENSG00000177575|CD163	20000
ENSG00000184371|CSF1	20000
ENSG00000185559|DLK1	20000
